titre,editeur,annee,isbn
La Main gauche de la nuit,Robert Laffont,2012,978-2221128121
Mémoires d'Hadrien,Gallimard Education,1974,978-2070369218
Contes de l'absurde,Presses Pocket,1978,978-2266006095
Astérix et la Transitalique,Editions Albert René,2017,978-2864973270
L'Odyssée d'Astérix,Educa Books,2008,978-2864972051
Les Singes du temps,Robert Laffont,2011,978-2221119693
Les Contes de Canterbury,Gallimard Education,2000,978-2070406340
Sécheresse,La Cheminante,2014,978-2371270060
The Art of Computer Programming,Addison-Wesley Professional,1997,978-0321635747
L'Aveuglement,Contemporary French Fiction,2000,978-2020403436
Le Berceau du chat,Contemporary French Fiction,2010,978-2757820919
Anna Karénine,Bibliothèque russe et slave,2018,978-2371240087
La Montagne magique,Fayard,2016,978-2213703848
Le Domaine des dieux,French & European Publications,1992,978-0785909903
Cent ans de solitude,Contemporary French Fiction,1995,978-2020238113
Gargantua et Pantagruel,Livre de Poche Jeunesse,2009,978-2013230827
Contes,J'ai Lu,2015,978-2290117965
Guerre et Paix,Archipoche,2016,978-2352879183
Énéide,Belles Lettres,1993,978-2251013039
Seconde Fondation,adsaa,1979,000-0000000097
Les Jeux de l'esprit,FeniXX,1971,978-2402281775
Middlemarch,Wordsworth Editions,1994,978-1853262371
Œdipe roi,J'ai Lu,2013,978-2290080207
L'Amour aux temps du choléra,Grasset,2009,978-2246819554
Fictions,Gallimard Education,1974,978-2070366149
Astérix chez les Bretons,Dargaud,2002,978-2012100084
Le Château,Points,2011,978-2757827413
Le Voyageur imprudent,Editions Gallimard,2014,978-2072535031
Je suis une légende,Editions Gallimard,2013,978-2072457388
Le Maître du Haut Château,J'ai Lu,2017,978-2290157268
Les Âmes mortes,Bibliothèque russe et slave,2018,978-2371240001
Le Tambour,Contemporary French Fiction,1997,978-2020314305
Polymath,iMinds Pty Ltd,2014,978-1921746864
Seigneur de lumière,Editions Gallimard,2014,978-2072487958
Ulysse,Nathan,2012,978-2092532195
Pedro Páramo,New York : Grove Press,1959,000-0000000069
Ubik,Houghton Mifflin Harcourt,2012,978-0547728247
Algorithms,Addison-Wesley Professional,2011,978-0132762564
Fifi Brindacier,Hachette Romans,2013,978-2011179043
Le monde s'effondre,Editions Présence Africaine,1972,978-2708701915
La Naissance des dieux,Glénat BD,2017,978-2331035531
Hamlet,Primento,2012,978-2806240187
Les Enfants de minuit,Gallimard Education,2010,978-2070402632
Dune,Penguin,2003,978-1101658055
La Couleur tombée du ciel,Tiers Livre Éditeur,2014,978-2814510012
L'Éducation sentimentale,FeniXX,1990,978-2402282697
Obélix et Compagnie,Educa Books,2008,978-2012101555
Le Journal d'un fou,Bibebook,2013,978-2824709420
Les Hauts de Hurlevent,Le Livre de Poche,2012,978-2253174561
La Plaie,FeniXX,1967,978-2402255462
Astérix chez les Belges,Dargaud,1979,978-2012101562
Le Rouge et le Noir,Les Éditions de l'Ebook malin,1971,978-2367881171
À la recherche du temps perdu,"Books LLC, Wiki Series",2010,978-1153611725
La storia,Editions Gallimard,2004,978-2070315017
L'Homme total,Presses Universitaires de France - PUF,2011,978-2130592150
