Hex,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16
C3,Ã,Ă,,Ã,У,أ,Γ,,Ã,Ã,ร,Ć,Ã,Ã,Ă
C4,Ä,Ä,Ä,Ä,Ф,ؤ,Δ,,Ä,Ä,ฤ,Ä,Ä,Ä,Ä
C5,Å,Ĺ,Ċ,Å,Х,إ,Ε,,Å,Å,ล,Å,Å,Å,Ć
C6,Æ,Ć,Ĉ,Æ,Ц,ئ,Ζ,,Æ,Æ,ฦ,Ę,Æ,Æ,Æ
C7,Ç,Ç,Ç,Į,Ч,ا,Η,,Ç,Į,ว,Ē,Ç,Ç,Ç
C8,È,Č,È,Č,Ш,ب,Θ,,È,Č,ศ,Č,È,È,È
C9,É,É,É,É,Щ,ة,Ι,,É,É,ษ,É,É,É,É
CA,Ê,Ę,Ê,Ę,Ъ,ت,Κ,,Ê,Ę,ส,Ź,Ê,Ê,Ê
CB,Ë,Ë,Ë,Ë,Ы,ث,Λ,,Ë,Ë,ห,Ė,Ë,Ë,Ë
CC,Ì,Ě,Ì,Ė,Ь,ج,Μ,,Ì,Ė,ฬ,Ģ,Ì,Ì,Ì
CD,Í,Í,Í,Í,Э,ح,Ν,,Í,Í,อ,Ķ,Í,Í,Í
CE,Î,Î,Î,Î,Ю,خ,Ξ,,Î,Î,ฮ,Ī,Î,Î,Î
CF,Ï,Ď,Ï,Ī,Я,د,Ο,,Ï,Ï,ฯ,Ļ,Ï,Ï,Ï
D0,Ð,Đ,,Đ,а,ذ,Π,,Ğ,Ð,ะ,Š,Ŵ,Ð,Ð
D1,Ñ,Ń,Ñ,Ņ,б,ر,Ρ,,Ñ,Ņ,ั,Ń,Ñ,Ñ,Ń
D2,Ò,Ň,Ò,Ō,в,ز,,,Ò,Ō,า,Ņ,Ò,Ò,Ò
D3,Ó,Ó,Ó,Ķ,г,س,Σ,,Ó,Ó,ำ,Ó,Ó,Ó,Ó
D4,Ô,Ô,Ô,Ô,д,ش,Τ,,Ô,Ô,ิ,Ō,Ô,Ô,Ô
D5,Õ,Ő,Ġ,Õ,е,ص,Υ,,Õ,Õ,ี,Õ,Õ,Õ,Ő
D6,Ö,Ö,Ö,Ö,ж,ض,Φ,,Ö,Ö,ึ,Ö,Ö,Ö,Ö
D7,×,×,×,×,з,ط,Χ,,×,Ũ,ื,×,Ṫ,×,Ś
D8,Ø,Ř,Ĝ,Ø,и,ظ,Ψ,,Ø,Ø,ุ,Ų,Ø,Ø,Ű
D9,Ù,Ů,Ù,Ų,й,ع,Ω,,Ù,Ų,ู,Ł,Ù,Ù,Ù
DA,Ú,Ú,Ú,Ú,к,غ,Ϊ,,Ú,Ú,ฺ,Ś,Ú,Ú,Ú
DB,Û,Ű,Û,Û,л,,Ϋ,,Û,Û,,Ū,Û,Û,Û
DC,Ü,Ü,Ü,Ü,м,,ά,,Ü,Ü,,Ü,Ü,Ü,Ü
DD,Ý,Ý,Ŭ,Ũ,н,,έ,,İ,Ý,,Ż,Ý,Ý,Ę
DE,Þ,Ţ,Ŝ,Ū,о,,ή,,Ş,Þ,,Ž,Ŷ,Þ,Ț
DF,ß,ß,ß,ß,п,,ί,‗,ß,ß,฿,ß,ß,ß,ß
E0,à,ŕ,à,ā,р,ـ,ΰ,א,à,ā,เ,ą,à,à,à
E1,á,á,á,á,с,ف,α,ב,á,á,แ,į,á,á,á
E2,â,â,â,â,т,ق,β,ג,â,â,โ,ā,â,â,â
E3,ã,ă,,ã,у,ك,γ,ד,ã,ã,ใ,ć,ã,ã,ă
E4,ä,ä,ä,ä,ф,ل,δ,ה,ä,ä,ไ,ä,ä,ä,ä
E5,å,ĺ,ċ,å,х,م,ε,ו,å,å,ๅ,å,å,å,ć
E6,æ,ć,ĉ,æ,ц,ن,ζ,ז,æ,æ,ๆ,ę,æ,æ,æ
E7,ç,ç,ç,į,ч,ه,η,ח,ç,į,็,ē,ç,ç,ç
E8,è,č,è,č,ш,و,θ,ט,è,č,่,č,è,è,è
E9,é,é,é,é,щ,ى,ι,י,é,é,้,é,é,é,é
EA,ê,ę,ê,ę,ъ,ي,κ,ך,ê,ę,๊,ź,ê,ê,ê
EB,ë,ë,ë,ë,ы,ً,λ,כ,ë,ë,๋,ė,ë,ë,ë
EC,ì,ě,ì,ė,ь,ٌ,μ,ל,ì,ė,์,ģ,ì,ì,ì
ED,í,í,í,í,э,ٍ,ν,ם,í,í,ํ,ķ,í,í,í
EE,î,î,î,î,ю,َ,ξ,מ,î,î,๎,ī,î,î,î
EF,ï,ď,ï,ī,я,ُ,ο,ן,ï,ï,๏,ļ,ï,ï,ï
F0,ð,đ,,đ,№,ِ,π,נ,ğ,ð,๐,š,ŵ,ð,đ
F1,ñ,ń,ñ,ņ,ё,ّ,ρ,ס,ñ,ņ,๑,ń,ñ,ñ,ń
F2,ò,ň,ò,ō,ђ,ْ,ς,ע,ò,ō,๒,ņ,ò,ò,ò
F3,ó,ó,ó,ķ,ѓ,,σ,ף,ó,ó,๓,ó,ó,ó,ó
F4,ô,ô,ô,ô,є,,τ,פ,ô,ô,๔,ō,ô,ô,ô
F5,õ,ő,ġ,õ,ѕ,,υ,ץ,õ,õ,๕,õ,õ,õ,ő
F6,ö,ö,ö,ö,і,,φ,צ,ö,ö,๖,ö,ö,ö,ö
F7,÷,÷,÷,÷,ї,,χ,ק,÷,ũ,๗,÷,ṫ,÷,ś
F8,ø,ř,ĝ,ø,ј,,ψ,ר,ø,ø,๘,ų,ø,ø,ű
F9,ù,ů,ù,ų,љ,,ω,ש,ù,ų,๙,ł,ù,ù,ù
FA,ú,ú,ú,ú,њ,,ϊ,ת,ú,ú,๚,ś,ú,ú,ú
FB,û,ű,û,û,ћ,,ϋ,,û,û,๛,ū,û,û,û
FC,ü,ü,ü,ü,ќ,,ό,,ü,ü,,ü,ü,ü,ü
FD,ý,ý,ŭ,ũ,§,,ύ,,ı,ý,,ż,ý,ý,ę
FE,þ,ţ,ŝ,ū,ў,,ώ,,ş,þ,,ž,ŷ,þ,ț
FF,ÿ,˙,˙,˙,џ,,,,ÿ,ĸ,,’,ÿ,ÿ,ÿ
