acteur1_facebook_likes,pays,num_critique,realisateur_facebook_likes,acteur3_facebook_likes,duree,acteur2,acteur2_facebook_likes,gross,realisateur,color,acteur3,titre,annee,genres,acteur1,budget,mots_cles,film_facebook_likes,lien,num_user_for_reviews,langue
891,USA,343,0,738,156,William Hurt,882,105219735,Ridley Scott,Color,Scott Grimes,Robin Hood ,2010,Action|Adventure|Drama|History,Mark Addy,200000000,1190s|archer|england|king of england|robin hood,17000,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,546,English
5000,USA,509,0,773,186,Adam Brown,972,258355354,Peter Jackson,Color,James Nesbitt,The Hobbit: The Desolation of Smaug ,2013,Adventure|Fantasy,Aidan Turner,225000000,dwarf|elf|lake town|mountain|sword and sorcery,83000,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,951,English
16000,USA,251,129,1000,113,Eva Green,6000,70083519,Chris Weitz,Color,Kristin Scott Thomas,The Golden Compass ,2007,Adventure|Family|Fantasy,Christopher Lee,180000000,children|epic|friend|girl|quest,0,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,666,English
29000,USA,315,0,794,194,Kate Winslet,14000,658672302,James Cameron,Color,Gloria Stuart,Titanic ,1997,Drama|Romance,Leonardo DiCaprio,200000000,artist|love|ship|titanic|wet,26000,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,2528,English
21000,USA,516,94,11000,147,Scarlett Johansson,19000,407197282,Anthony Russo,Color,Chris Evans,Captain America: Civil War ,2016,Action|Adventure|Sci-Fi,Robert Downey Jr.,250000000,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,72000,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,1022,English
14000,USA,377,532,627,131,Alexander Skarsgård,10000,65173160,Peter Berg,Color,Tadanobu Asano,Battleship ,2012,Action|Adventure|Sci-Fi|Thriller,Liam Neeson,209000000,box office flop|hawaii|naval|oahu hawaii|ship,44000,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,751,English
3000,USA,644,365,1000,124,Judy Greer,2000,652177271,Colin Trevorrow,Color,Omar Sy,Jurassic World ,2015,Action|Adventure|Sci-Fi|Thriller,Bryce Dallas Howard,150000000,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,150000,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,1290,English
883,UK,750,0,393,143,Helen McCrory,563,304360277,Sam Mendes,Color,Rory Kinnear,Skyfall ,2012,Action|Adventure|Thriller,Albert Finney,200000000,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,80000,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,1498,English
24000,USA,300,0,4000,135,James Franco,11000,373377893,Sam Raimi,Color,Kirsten Dunst,Spider-Man 2 ,2004,Action|Adventure|Fantasy|Romance,J.K. Simmons,200000000,death|doctor|scientist|super villain|tentacle,0,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,1303,English
21000,USA,608,1000,3000,195,Jon Favreau,4000,408992272,Shane Black,Color,Don Cheadle,Iron Man 3 ,2013,Action|Adventure|Sci-Fi,Robert Downey Jr.,200000000,armor|explosion|human bomb|missile attack|terrorist,95000,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1187,English
40000,USA,451,13000,11000,108,Alan Rickman,25000,334185206,Tim Burton,Color,Anne Hathaway,Alice in Wonderland ,2010,Adventure|Family|Fantasy,Johnny Depp,200000000,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,24000,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736,English
20000,Canada,334,420,560,104,Kelsey Grammer,808,234360014,Brett Ratner,Color,Daniel Cudmore,X-Men: The Last Stand ,2006,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,210000000,battle|mutant|outrage|walking through a wall|x men,0,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,1912,English
12000,USA,376,37,760,104,Tyler Labine,779,268488329,Dan Scanlon,Color,Sean Hayes,Monsters University ,2013,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,200000000,cheating|fraternity|monster|singing in a car|university,44000,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,265,English
894,USA,366,0,464,150,Kevin Dunn,581,402076689,Michael Bay,Color,Ramon Rodriguez,Transformers: Revenge of the Fallen ,2009,Action|Adventure|Sci-Fi,Glenn Morshower,200000000,autobot|decepticon|machine|sun|symbol,0,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,1439,English
974,USA,378,0,808,165,Sophia Myles,956,245428137,Michael Bay,Color,Kelsey Grammer,Transformers: Age of Extinction ,2014,Action|Adventure|Sci-Fi,Bingbing Li,210000000,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,56000,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,918,English
44000,USA,525,0,11000,130,Mila Kunis,15000,234903076,Sam Raimi,Color,James Franco,Oz the Great and Powerful ,2013,Adventure|Family|Fantasy,Tim Holmes,215000000,circus|magic|magician|oz|witch,60000,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511,English
15000,USA,495,464,825,142,Andrew Garfield,10000,202853933,Marc Webb,Color,B.J. Novak,The Amazing Spider-Man 2 ,2014,Action|Adventure|Fantasy|Sci-Fi,Emma Stone,200000000,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,41000,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,1067,English
12000,USA,469,364,1000,125,Olivia Wilde,10000,172051787,Joseph Kosinski,Color,James Frain,TRON: Legacy ,2010,Action|Adventure|Sci-Fi,Jeff Bridges,170000000,arcade|bridge|disappearance|escape|warrior,30000,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,665,English
1000,USA,304,487,776,106,Thomas Kretschmann,919,191450875,John Lasseter,Color,Eddie Izzard,Cars 2 ,2011,Adventure|Animation|Comedy|Family|Sport,Joe Mantegna,200000000,best friend|car race|conspiracy|gadget car|spy,10000,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,283,English
16000,USA,436,258,326,123,Temuera Morrison,368,116593191,Martin Campbell,Color,Taika Waititi,Green Lantern ,2011,Action|Adventure|Sci-Fi,Ryan Reynolds,200000000,autopsy|lantern|planet|ring|test pilot,24000,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,550,English
15000,USA,453,125,721,103,John Ratzenberger,1000,414984497,Lee Unkrich,Color,Don Rickles,Toy Story 3 ,2010,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,200000000,college|day care|escape|teddy bear|toy,30000,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,733,English
23000,USA,422,368,988,118,Bryce Dallas Howard,3000,125320003,McG,Color,Common,Terminator Salvation ,2009,Action|Adventure|Sci-Fi,Christian Bale,200000000,death row|future|machine|rescue|skynet,0,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,974,English
26000,USA,424,0,14000,140,Paul Walker,23000,350034110,James Wan,Color,Vin Diesel,Furious 7 ,2015,Action|Crime|Thriller,Jason Statham,190000000,car falling off a cliff|hospital|revenge|star died before release|terrorist,94000,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,657,English
17000,USA,654,395,1000,123,Brad Pitt,11000,202351611,Marc Forster,Color,Mireille Enos,World War Z ,2013,Action|Adventure|Horror|Sci-Fi|Thriller,Peter Capaldi,190000000,chaos|disease|infection|pandemic|zombie,129000,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,995,English
34000,USA,539,0,20000,149,Peter Dinklage,22000,233914986,Bryan Singer,Color,Hugh Jackman,X-Men: Days of Future Past ,2014,Action|Adventure|Fantasy|Sci-Fi|Thriller,Jennifer Lawrence,200000000,dystopia|super strength|supernatural power|time paradox|time travel,82000,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,752,English
19000,USA,590,14000,928,132,Bruce Greenwood,981,228756232,J.J. Abrams,Color,Noel Clarke,Star Trek Into Darkness ,2013,Action|Adventure|Sci-Fi,Benedict Cumberbatch,190000000,admiral|captain|manhunt|mission|space,92000,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,1171,English
979,USA,338,0,140,114,Ewen Bremner,557,65171860,Bryan Singer,Color,Ralph Brown,Jack the Giant Slayer ,2013,Adventure|Fantasy,Eddie Marsan,195000000,bean|giant|king|no opening credits|princess,22000,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,205,English
29000,Australia,490,1000,76,143,Elizabeth Debicki,509,144812796,Baz Luhrmann,Color,Steve Bisley,The Great Gatsby ,2013,Drama|Romance,Leonardo DiCaprio,105000000,ingratitude|mansion|party|title appears in writing|tragedy,115000,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,753,English
15000,USA,306,179,236,116,Richard Coyle,567,90755643,Mike Newell,Color,Reece Ritchie,Prince of Persia: The Sands of Time ,2010,Action|Adventure|Fantasy|Romance,Jake Gyllenhaal,200000000,alamut|dagger|king|persia|princess,23000,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,453,English
16000,USA,575,0,919,131,Clifton Collins Jr.,968,101785482,Guillermo del Toro,Color,Larry Joe Campbell,Pacific Rim ,2013,Action|Adventure|Sci-Fi,Charlie Hunnam,190000000,giant monster|kaiju|pilot|portal|robot,83000,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,1106,English
894,USA,428,0,581,154,Lester Speight,829,352358779,Michael Bay,Color,Kevin Dunn,Transformers: Dark of the Moon ,2011,Action|Adventure|Sci-Fi,Glenn Morshower,195000000,autobot|decepticon|job interview|moon|spacecraft,46000,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,899,English
11000,USA,470,14000,1000,122,Ray Winstone,1000,317011114,Steven Spielberg,Color,Jim Broadbent,Indiana Jones and the Kingdom of the Crystal Skull ,2008,Action|Adventure|Fantasy,Harrison Ford,185000000,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,5000,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,2054,English
275,USA,298,113,113,93,Jack McGraw,150,123070338,Peter Sohn,Color,Peter Sohn,The Good Dinosaur ,2015,Adventure|Animation|Comedy|Family|Fantasy,A.J. Buckley,,apatosaurus|asteroid|dinosaur|fear|river,20000,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,345,English
2000,USA,488,56,838,93,John Ratzenberger,1000,237282182,Mark Andrews,Color,Julie Walters,Brave ,2012,Adventure|Animation|Comedy|Family|Fantasy,Kelly Macdonald,185000000,archery|coming of age|female warrior|princess|rebellious daughter,39000,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,428,English
998,USA,322,681,105,122,Melissa Roxburgh,119,130468626,Justin Lin,Color,Lydia Wilson,Star Trek Beyond ,2016,Action|Adventure|Sci-Fi|Thriller,Sofia Boutella,185000000,hatred|sequel|space opera|star trek|third part,30000,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,432,English
1000,USA,421,475,522,98,Fred Willard,729,223806889,Andrew Stanton,Color,Jeff Garlin,WALL·E ,2008,Adventure|Animation|Family|Sci-Fi,John Ratzenberger,180000000,earth|obesity|plant|robot|soil,16000,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,1043,English
268,USA,162,420,173,91,Dana Ivey,268,140080850,Brett Ratner,Color,Noémie Lenoir,Rush Hour 3 ,2007,Action|Comedy|Crime|Thriller,Tzi Ma,140000000,ambassador|assassination|chinese|french|triad,0,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,221,English
1000,USA,367,776,310,158,Liam James,468,166112167,Roland Emmerich,Color,Tom McCarthy,2012 ,2009,Action|Adventure|Sci-Fi,Oliver Platt,200000000,ark|catastrophe|geologist|president|writer,13000,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1055,English
18000,USA,240,0,10000,96,Colin Firth,14000,137850096,Robert Zemeckis,Color,Gary Oldman,A Christmas Carol ,2009,Animation|Drama|Family|Fantasy,Robin Wright,200000000,charles dickens|christmas|christmas eve|ghost|scrooge,0,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,249,English
17000,USA,384,0,13000,127,Mila Kunis,15000,47375327,Lana Wachowski,Color,Eddie Redmayne,Jupiter Ascending ,2015,Action|Adventure|Sci-Fi,Channing Tatum,176000000,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,44000,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,720,English
11000,USA,248,282,103,110,Alexander Skarsgård,10000,124051759,David Yates,Color,Casper Crump,The Legend of Tarzan ,2016,Action|Adventure|Drama|Romance,Christoph Waltz,180000000,africa|capture|jungle|male objectification|tarzan,29000,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239,English
1000,USA,284,80,82,150,Kiran Shah,190,291709845,Andrew Adamson,Color,Shane Rangi,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",2005,Adventure|Family|Fantasy,Jim Broadbent,180000000,hide and seek|lion|magic|professor|snow,0,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,1463,English
34000,USA,396,0,1000,144,Michael Fassbender,13000,154985087,Bryan Singer,Color,Tye Sheridan,X-Men: Apocalypse ,2016,Action|Adventure|Sci-Fi,Jennifer Lawrence,178000000,mutant|superhero|superhero team|x men|year 1983,54000,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,622,English
23000,USA,645,22000,11000,152,Heath Ledger,13000,533316061,Christopher Nolan,Color,Morgan Freeman,The Dark Knight ,2008,Action|Crime|Drama|Thriller,Christian Bale,185000000,based on comic book|dc comics|psychopath|star died before release|urban setting,37000,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,4667,English
1000,USA,408,0,262,96,Delroy Lindo,848,292979556,Pete Docter,Color,Jess Harnell,Up ,2009,Adventure|Animation|Comedy|Family,John Ratzenberger,175000000,balloon|house|promise|retirement|skeleton,27000,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,704,English
1000,USA,219,11,459,94,Rainn Wilson,973,198332128,Rob Letterman,Color,Stephen Colbert,Monsters vs. Aliens ,2009,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Amy Poehler,175000000,alien|alien invasion|alien space craft|giant|giantess,0,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,187,English
21000,USA,486,4000,4000,126,Jeff Bridges,12000,318298180,Jon Favreau,Color,Jon Favreau,Iron Man ,2008,Action|Adventure|Sci-Fi,Robert Downey Jr.,140000000,afghanistan|billionaire|inventor|playboy|u.s. air force,10000,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,1055,English
17000,USA,682,17000,1000,126,Christopher Lee,16000,73820094,Martin Scorsese,Color,Ray Winstone,Hugo ,2011,Adventure|Drama|Family|Mystery,Chloë Grace Moretz,170000000,automaton|mechanical|railway station|steampunk|train,42000,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,678,English
10000,USA,85,188,581,106,Salma Hayek,4000,113745408,Barry Sonnenfeld,Color,Bai Ling,Wild Wild West ,1999,Action|Comedy|Sci-Fi|Western,Will Smith,170000000,buddy movie|general|inventor|steampunk|utah,0,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,648,English
5000,USA,264,357,595,112,Brendan Fraser,3000,102176165,Rob Cohen,Color,Russell Wong,The Mummy: Tomb of the Dragon Emperor ,2008,Action|Adventure|Fantasy|Horror|Thriller,Jet Li,145000000,army|china|emperor|mummy|shangri la,0,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,501,English
10000,USA,418,453,329,123,Robin Atkin Downes,336,161087183,David Ayer,Color,Ike Barinholtz,Suicide Squad ,2016,Action|Adventure|Comedy|Sci-Fi,Will Smith,175000000,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,80000,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,971,English
87000,USA,186,293,7000,96,Morgan Freeman,11000,100289690,Tom Shadyac,Color,Steve Carell,Evan Almighty ,2007,Comedy|Family|Fantasy,Jimmy Bennett,175000000,ark|change|congressman|depiction of god|flood,2000,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,257,English
10000,USA,585,218,509,113,Lara Pulver,854,100189501,Doug Liman,Color,Noah Taylor,Edge of Tomorrow ,2014,Action|Adventure|Sci-Fi,Tom Cruise,178000000,alien|combat|dying repeatedly|end of the world|time loop,77000,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,741,English
711,USA,91,58,60,176,Rick Aviles,60,88246220,Kevin Reynolds,Color,Zakes Mokae,Waterworld ,1995,Action|Adventure|Sci-Fi|Thriller,Jeanne Tripplehorn,175000000,future|sail|sea|smoker|water,0,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,309,English
23000,USA,250,208,570,118,Dennis Quaid,2000,150167630,Stephen Sommers,Color,Leo Howard,G.I. Joe: The Rise of Cobra ,2009,Action|Adventure|Sci-Fi|Thriller,Joseph Gordon-Levitt,175000000,cobra|gi joe|snake|train|warhead,0,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,534,English
1000,USA,536,0,384,95,Mindy Kaling,766,356454367,Pete Docter,Color,Phyllis Smith,Inside Out ,2015,Adventure|Animation|Comedy|Drama|Family|Fantasy,Amy Poehler,175000000,anger|joy|memory|running away|sadness,118000,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,773,English
19000,UK,370,4000,591,106,Bill Murray,13000,362645141,Jon Favreau,Color,Garry Shandling,The Jungle Book ,2016,Adventure|Drama|Family|Fantasy,Scarlett Johansson,175000000,fire|jungle|remake|tiger|wolf,65000,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,398,English
21000,USA,453,4000,4000,124,Scarlett Johansson,19000,312057433,Jon Favreau,Color,Jon Favreau,Iron Man 2 ,2010,Action|Adventure|Sci-Fi,Robert Downey Jr.,200000000,hammer|military|monaco|revenge|tony stark,18000,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,723,English
26000,USA,416,274,11000,132,Kristen Stewart,17000,155111815,Rupert Sanders,Color,Sam Claflin,Snow White and the Huntsman ,2012,Action|Adventure|Drama|Fantasy,Chris Hemsworth,170000000,evil queen|fairy tale|magic|queen|snow white,53000,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,710,English
11000,USA,401,171,845,97,Sharlto Copley,2000,241407328,Robert Stromberg,Color,Sam Riley,Maleficent ,2014,Action|Adventure|Family|Fantasy|Romance,Angelina Jolie Pitt,180000000,curse|dark fantasy|fairy|king|kingdom,89000,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,634,English
10000,USA,521,198,884,130,Judy Greer,2000,208543795,Matt Reeves,Color,Kodi Smit-McPhee,Dawn of the Planet of the Apes ,2014,Action|Adventure|Drama|Sci-Fi,Gary Oldman,170000000,ape|dam|leader|post apocalypse|sequel,45000,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,620,English
621,Belgium,10,596,283,109,Alice Englert,525,,Roland Joffé,Color,Bipasha Basu,The Lovers ,2015,Action|Adventure|Romance|Sci-Fi,Tamsin Egerton,,1770s|british india|great barrier reef|india|ring,677,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,15,English
18000,USA,218,47,982,128,Cary-Hiroyuki Tagawa,1000,38297305,Carl Rinsch,Color,Jin Akanishi,47 Ronin ,2013,Action|Adventure|Drama|Fantasy,Keanu Reeves,175000000,box office flop|ronin|samurai|shogun|tournament,35000,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,324,English
19000,USA,576,94,2000,136,Chris Evans,11000,259746958,Anthony Russo,Color,Hayley Atwell,Captain America: The Winter Soldier ,2014,Action|Adventure|Sci-Fi,Scarlett Johansson,170000000,conspiracy|heroism|megalomaniac|super soldier|world domination,55000,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,742,English
4000,USA,226,31,213,93,Kathy Griffin,225,238371987,Mike Mitchell,Color,Mary Kay Place,Shrek Forever After ,2010,Adventure|Animation|Comedy|Family|Fantasy,Jon Hamm,165000000,alternate world|fairy tale parody|female warrior|ogre|true love,0,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,173,English
2000,USA,443,663,604,130,Chris Bauer,638,93417865,Brad Bird,Color,Thomas Robinson,Tomorrowland ,2015,Action|Adventure|Family|Mystery|Sci-Fi,Judy Greer,190000000,boy genius|futuristic city|inventor|teenage girl|time travel,37000,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,497,English
